date,open,high,low,close,volume,change_ratio
20151216,48600,50400,47050,47050,450069,-3.68474923234391
20151217,47000,47900,45700,45950,345062,-2.3379383634431457
20151218,46950,49050,46950,49050,597409,6.746463547334058
20151221,54400,62600,51600,61000,2544932,24.362895005096842
20151222,64000,79300,63200,79300,4691694,30.0
20151223,82000,92700,77700,80400,5057244,1.3871374527112232
20151224,81800,81800,73900,75000,547920,-6.7164179104477615
20151228,75000,75000,67500,69000,530167,-8.0
20151229,68100,77600,68100,77500,478662,12.318840579710146
20151230,79900,84000,77800,81200,899060,4.774193548387097
20160104,91700,93300,84600,86200,1263598,6.157635467980295
20160105,84300,86900,80900,85000,774911,-1.3921113689095126
20160106,85500,85700,77400,82900,762275,-2.4705882352941173
20160107,80900,88700,79200,84800,1091696,2.2919179734620023
20160108,83400,85000,81500,84100,468334,-0.8254716981132075
20160111,82500,83000,79000,79000,447134,-6.064209274673008
20160112,80700,82600,75900,76500,505006,-3.1645569620253164
20160113,78400,79700,77300,78600,314413,2.7450980392156863
20160114,76600,77800,75100,75800,286920,-3.5623409669211195
20160115,75900,76400,71300,71800,496551,-5.277044854881266
20160118,69100,69100,66100,67000,565360,-6.685236768802229
20160119,67600,77400,67200,71500,1856172,6.7164179104477615
20160120,69600,69700,65300,66400,514052,-7.1328671328671325
20160121,67200,72000,65800,65800,706251,-0.9036144578313252
20160122,64000,68000,64000,67700,408378,2.8875379939209727
20160125,67700,74400,66000,68700,1325760,1.4771048744460855
20160126,68600,71900,68300,68900,409481,0.2911208151382824
20160127,70400,71000,66600,66600,339294,-3.3381712626995643
20160128,65300,69000,65300,67600,247943,1.5015015015015014
20160129,68000,68300,65800,67400,244920,-0.2958579881656805
20160201,66500,67200,64000,64600,348583,-4.154302670623145
20160202,65200,66600,64000,64000,320844,-0.9287925696594427
20160203,64100,65000,62400,62600,238857,-2.1875
20160204,62700,64200,62700,63800,215621,1.9169329073482428
20160205,64100,64500,63000,64000,140865,0.3134796238244514
20160211,61100,62000,59400,59600,264993,-6.875000000000001
20160212,58300,60500,55600,57000,344822,-4.3624161073825505
20160215,57100,59000,56600,58000,221407,1.7543859649122806
20160216,58400,60200,58300,58500,188421,0.8620689655172413
20160217,59100,60500,57400,57700,252563,-1.3675213675213675
20160218,59100,59600,58300,59300,161339,2.772963604852686
20160219,62800,64100,60100,60200,533496,1.5177065767284992
20160222,60400,61300,59500,60700,117171,0.8305647840531563
20160223,61000,61700,59400,59400,207819,-2.14168039538715
20160224,58500,59600,57900,59000,135135,-0.6734006734006733
20160225,59600,60300,58800,59000,139576,0.0
20160226,59300,60000,58500,60000,133409,1.694915254237288
20160229,58700,59500,57900,58600,157560,-2.3333333333333335
20160302,59100,61400,58800,59800,249905,2.04778156996587
20160303,62300,62500,58500,58500,388442,-2.1739130434782608
20160304,58000,58000,56900,57400,230283,-1.8803418803418803
20160307,57400,58100,56200,56300,190379,-1.9163763066202089
20160308,56300,56900,53300,55300,378005,-1.7761989342806392
20160309,55000,56100,54700,55400,144449,0.18083182640144665
20160310,55400,56400,55300,55500,139224,0.18050541516245489
20160311,54600,55000,54200,54600,138491,-1.6216216216216217
20160314,54800,57600,54300,56300,329369,3.1135531135531136
20160315,56300,56500,55300,55600,119633,-1.2433392539964476
20160316,56800,57200,55200,55500,175925,-0.1798561151079137
20160317,55600,57000,55500,57000,157821,2.7027027027027026
20160318,58200,59100,57300,58900,383478,3.3333333333333335
20160321,59800,59800,57800,58000,179264,-1.5280135823429541
20160322,57600,57900,56300,57100,157176,-1.5517241379310345
20160323,57700,58700,56700,56800,167896,-0.5253940455341506
20160324,56500,57000,55900,56300,125293,-0.8802816901408451
20160325,56200,56400,55600,55800,101397,-0.8880994671403196
